Component	HOST	Service	STATE	OUPUT	NOTIFICATION_STATUS	COMMENT_ENTRY_TIME	COMMENT_AUTHOR	COMMENT_DATA	DOWNTIME_START	DOWNTIME_END	DOWNTIME_DURATION	IS_DOWNTIME	IS_ACKNOWLEDGED	DOWNTIME_AUTHOR	DOWNTIME_COMMENT	
Hoststatus	alln01-2-csm-p-extcilb-001	NA	CRITICAL	CRITICAL - 10.202.167.110: rta nan, lost 100%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This host has been scheduled for fixed downtime from 07-14-2016 15:39:31 to 07-14-2017 17:39:31.  Notifications for the host will not be sent out during that time period.	Thu Jul 14 21:09:31 2016	Fri Jul 14 23:09:31 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Hoststatus	alln01-2-csm-p-extcilb-002	NA	CRITICAL	CRITICAL - 10.202.167.111: rta nan, lost 100%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This host has been scheduled for fixed downtime from 07-14-2016 15:41:27 to 07-14-2017 17:41:27.  Notifications for the host will not be sent out during that time period.	Thu Jul 14 21:11:27 2016	Fri Jul 14 23:11:27 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Hoststatus	alln01-2-csm-p-intcilb-001	NA	CRITICAL	CRITICAL - 10.202.167.108: rta nan, lost 100%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This host has been scheduled for fixed downtime from 07-14-2016 15:49:32 to 07-14-2017 17:49:32.  Notifications for the host will not be sent out during that time period.	Thu Jul 14 21:19:32 2016	Fri Jul 14 23:19:32 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Hoststatus	alln01-2-csm-p-intcilb-002	NA	CRITICAL	CRITICAL - 10.202.167.109: rta nan, lost 100%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This host has been scheduled for fixed downtime from 07-14-2016 15:50:51 to 07-14-2017 17:50:51.  Notifications for the host will not be sent out during that time period.	Thu Jul 14 21:20:51 2016	Fri Jul 14 23:20:51 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Hoststatus	csm-a-nova3-005	NA	CRITICAL	CRITICAL - 10.202.160.40: rta nan, lost 100%	ENABLED	Wed Oct 26 21:18:19 2016	brykrame	CCS000027951	None	None	None	None	ACKNOWLEDGED	None	None	
Hoststatus	csx-a-nova1-333	NA	CRITICAL	CRITICAL - 10.202.163.193: rta nan, lost 100%	ENABLED	Sun Jan 31 07:55:19 2016	chrchand	chrchand - ACKing multiple nova nodes that were pulled out of the spare agg and will be repurposed.	None	None	None	None	ACKNOWLEDGED	None	None	
Hoststatus	csx-a-nova3-012	NA	OK	OK - 10.202.162.93: rta 0.263ms, lost 0%	DISABLED	Sat Dec  5 04:54:45 2015	arthurle	disabled | down  | 2015-12-04T22:05:50.000000 | raid-reconfiguration	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-a-ospmon-001	NA	OK	OK - 10.202.166.181: rta 0.175ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-a-sunrise-001	NA	OK	OK - 10.202.165.41: rta 0.595ms, lost 0%	ENABLED	Mon Nov 28 21:30:55 2016	andrpric	This host has been scheduled for fixed downtime from 05-18-2016 20:10:37 to 05-18-2017 22:10:37.  Notifications for the host will not be sent out during that time period.	Thu May 19 01:40:37 2016	Fri May 19 03:40:37 2017	31543200	1	NOT_ACKNOWLEDGED	andrpric	CHG0035071 - Sunrise being removed	
Hoststatus	csx-a-sunrise-002	NA	OK	OK - 10.202.165.42: rta 0.533ms, lost 0%	ENABLED	Mon Nov 28 21:30:55 2016	andrpric	This host has been scheduled for fixed downtime from 05-18-2016 20:11:20 to 05-18-2017 22:11:20.  Notifications for the host will not be sent out during that time period.	Thu May 19 01:41:20 2016	Fri May 19 03:41:20 2017	31543200	1	NOT_ACKNOWLEDGED	andrpric	CHG0035071 - Sunrise being removed	
Hoststatus	csx-a-sunrise-003	NA	OK	OK - 10.202.165.43: rta 0.344ms, lost 0%	ENABLED	Mon Nov 28 21:30:55 2016	andrpric	This host has been scheduled for fixed downtime from 05-18-2016 20:11:41 to 05-18-2017 22:11:41.  Notifications for the host will not be sent out during that time period.	Thu May 19 01:41:41 2016	Fri May 19 03:41:41 2017	31543200	1	NOT_ACKNOWLEDGED	andrpric	CHG0035071 - Sunrise being removed	
Hoststatus	csx-a-trovepercona-001	NA	OK	OK - 10.202.167.14: rta 0.614ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-a-troverabbitmq-001	NA	OK	OK - 10.202.166.76: rta 0.822ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-001.us-texas-3	NA	OK	OK - 10.202.161.102: rta 3.805ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-002.us-texas-3	NA	OK	OK - 10.202.161.103: rta 3.469ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-003.us-texas-3	NA	OK	OK - 10.202.161.104: rta 5.507ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-004.us-texas-3	NA	OK	OK - 10.202.161.105: rta 0.933ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-005.us-texas-3	NA	OK	OK - 10.202.161.106: rta 2.693ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-006.us-texas-3	NA	OK	OK - 10.202.161.107: rta 3.900ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-007.us-texas-3	NA	OK	OK - 10.202.161.108: rta 3.744ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
